1,0,20,5,0,3
2,0,50,3,18,1
3,0,20,3,0,1
4,1,30,4,0,3
5,0,20,4,8,3
6,1,0,0,15,2
7,0,60,3,18,3
8,1,20,2,17,2
9,1,20,4,0,2
10,1,20,4,0,3
11,0,20,3,0,1
12,1,50,2,0,2
13,1,20,4,0,3
14,1,20,3,0,3
15,0,30,4,18,1
16,1,20,3,1,2
17,1,20,4,0,3
18,0,20,4,0,2
19,1,20,0,0,2
20,1,30,4,0,2
21,0,20,4,0,3
22,1,30,4,0,3
23,1,30,4,0,1
24,0,30,3,0,3
25,1,50,4,0,3
26,0,50,3,10,3
27,0,30,3,18,3
28,0,30,4,18,3
29,0,30,4,18,3
30,1,20,4,10,3
31,0,50,4,6,3
32,1,40,4,14,3
33,1,40,2,0,2
34,1,30,5,0,2
35,0,30,5,6,3
36,1,30,4,18,3
37,0,40,2,18,1
38,1,50,4,10,2
39,0,20,3,0,3
40,1,50,4,18,1
41,1,60,4,14,2
42,0,60,4,0,2
43,1,20,4,5,3
44,0,50,2,0,1
45,1,30,4,0,2
46,1,20,4,0,2
47,0,40,4,5,2
48,1,40,4,0,2
49,1,20,4,17,2
50,1,50,3,16,2
51,0,20,3,18,2
52,1,60,5,6,2
53,0,20,4,0,1
54,1,30,3,6,2
55,1,20,2,15,1
56,0,20,2,0,3
57,0,20,2,0,3
58,0,50,2,18,3
59,0,50,2,18,3
60,1,20,4,11,1
61,0,0,0,18,2
62,0,10,1,15,1
63,0,40,5,13,2
64,0,0,0,18,3
65,1,40,4,10,2
66,0,30,2,18,1
67,1,20,4,18,1
68,1,30,4,6,3
69,1,20,4,10,2
70,0,30,3,0,3
71,0,40,4,10,1
72,1,50,4,0,2
73,0,30,4,0,3
74,0,40,4,18,1
75,0,40,4,1,3
76,0,30,4,5,3
77,1,30,4,0,2
78,0,30,4,7,1
79,1,30,4,0,2
80,1,0,0,15,1
81,0,40,4,0,1
82,1,40,4,1,2
83,1,30,4,16,2
84,0,40,2,16,1
85,0,30,3,0,2
86,1,30,4,18,3
87,1,80,4,18,1
88,1,80,4,18,1
89,1,30,3,0,2
90,1,30,4,0,2
91,1,40,3,0,1
92,1,50,4,14,1
93,0,50,4,18,3
94,0,20,3,15,1
95,1,20,3,15,2
96,1,20,4,10,3
97,1,20,3,1,2
98,1,20,4,14,3
99,1,20,4,0,3
100,1,20,4,0,2
101,1,20,4,0,3
102,1,20,3,0,2
103,1,20,4,9,2
104,1,20,3,0,1
105,0,50,2,18,2
106,1,10,2,15,3
107,1,50,2,18,3
